Nombre;Equipo;Min.;Jug.;%;Ent.;%;Tit.;%;Sust.;%;Am.;Roj.;Dob.;Gol;Pen.;G.P.P.;Enc.
Rodrigo;VAL;2231002.231;30;97%;10;32%;26;84%;20;65%;4;0;0;15;1;0;19
Roger;LEV;62600626;11;35%;3;10%;6;19%;8;26%;4;0;0;2;1;0;8
Roger Martínez;VIL;19300193;6;19%;1;3%;2;6%;5;16%;0;0;0;0;0;0;4
Ronaldo;RMA;2095002.095;24;77%;18;58%;24;77%;6;19%;1;0;0;23;3;0;27
Rubén Castro;BET;23700237;8;26%;0;0%;2;6%;8;26%;0;0;0;1;1;0;3
S. Castillejo;VIL;1547001.547;23;74%;5;16%;19;61%;18;58%;2;0;0;2;0;0;17
S. García;ESP;1200001.200;26;84%;7;23%;11;35%;19;61%;4;0;0;1;0;0;13
Sabin Merino;ATH;33800338;11;35%;0;0%;4;13%;11;35%;1;0;0;0;0;0;6
Sadiku;LEV;16300163;4;13%;0;0%;2;6%;4;13%;1;0;0;0;0;0;1
Samuel;MGA;35600356;17;55%;0;0%;4;13%;17;55%;1;1;0;0;0;0;8
Sanabria;BET;63800638;12;39%;4;13%;6;19%;8;26%;0;0;0;7;0;0;15
Sandro;SEV;25100251;6;19%;1;3%;2;6%;5;16%;0;0;0;0;0;0;10
Sansone;VIL;43000430;12;39%;0;0%;4;13%;12;39%;1;0;0;4;1;0;5
Santi Mina;VAL;1236001.236;27;87%;7;23%;13;42%;20;65%;4;0;0;11;1;0;19
Sergi Enrich;EIB;1330001.330;19;61%;8;26%;14;45%;11;35%;2;0;0;3;0;1;23
Sergio León;BET;1793001.793;28;90%;12;39%;20;65%;16;52%;4;0;0;11;0;0;36
Simone Zaza;VAL;1817001.817;28;90%;11;35%;20;65%;17;55%;7;1;1;12;0;0;20
Sisto;CEL;2123002.123;29;94%;8;26%;26;84%;21;68%;1;0;0;4;0;0;29
Sobrino;ALA;1047001.047;22;71%;6;19%;11;35%;16;52%;4;0;0;2;0;0;20
Stuani;GIR;2164002.164;26;84%;13;42%;26;84%;13;42%;8;0;0;17;3;0;33
Success;MGA;24900249;6;19%;0;0%;4;13%;6;19%;0;0;0;0;0;0;3
Tana;LPA;1477001.477;22;71%;8;26%;15;48%;14;45%;2;0;0;1;0;0;29
Viera;LPA;1994001.994;23;74%;22;71%;23;74%;1;3%;4;0;0;4;1;0;46
Vietto ;VAL;57300573;14;45%;0;0%;7;23%;14;45%;2;0;0;1;0;0;5
Vitolo;ATM;95000950;17;55%;6;19%;11;35%;11;35%;1;1;0;2;0;0;22
Williams;ATH;2244002.244;31;100%;19;61%;24;77%;12;39%;0;0;0;6;0;0;28
Willian José;RSO;2219002.219;27;87%;17;55%;26;84%;10;32%;2;0;0;13;2;0;39
Ángel ;GET;1855001.855;27;87%;10;32%;21;68%;17;55%;4;0;0;12;0;0;13
Ángel Correa;ATM;1896001.896;31;100%;5;16%;22;71%;26;84%;3;0;0;7;0;0;7
